19735,rt usrId please support usrId helping children in danger from #earthquake in #nepal httpAddress pls rt,Donations and volunteering
19738,rt usrId #israel airforce left D #nepal to save lives search amp ; rescue amp ; set up a field httpAddress #nepalquakerelief #nepalquake http,Donations and volunteering
19744,rt usrId #kathmandu if your wifi is working httpAddress disable the httpAddress let people httpAddress,Donations and volunteering
19752,rt usrId proud to hear usrId has extended support amp ; is sending relief to nepal with the urgency that a situation like this,Donations and volunteering
19754,if you want to help #nepal usrId has curated a number of ways you can lend your support httpAddress,Donations and volunteering
19757,#gyasa with #hope nhumanity #savenepal #nepalquakerelief #goingfromdelhi #volentiersfromdelhi #jainepal httpAddress,Donations and volunteering
19758,rt usrId #nepalquake indian relief aircraft leaves for nepal from hindon airbase ani httpAddress,Donations and volunteering
19759,rt usrId to help those affected by the devastating earthquake in nepal text donate5 to DD and give 5 . thank you usrId,Donations and volunteering
19761,atonce help from india amp ; abroad is appreciable in httpAddress earthquack desater thanks them# heartly condolence for those who have no more,Donations and volunteering
19762,microsoft offers free skype calls in nepal facebook donates 2 million httpAddress,Donations and volunteering
19764,rt usrId my friend usrId is heading into nepal to him his fellow people show ur support anyway u can httpAddress,Donations and volunteering
19773,rt usrId wendesday may six yoga DD will be hosting a bake sale to help support the relief efforts in nepal come help out cpa !,Donations and volunteering
19775,rt usrId help the families of the nepal earthquake which has left thousands httpAddress donate to usrId at httpAddress #,Donations and volunteering
19780,rt usrId #nepalearthquake 144 can provide clean drinking water for DD httpAddress please donate now httpAddress http,Donations and volunteering
19783,rt usrId #gimel will be sending relief supplies for #nepalearthquake httpAddress please join this effort amp ; contribute with things you do,Donations and volunteering
19791,rt usrId #breaking nearly D million children require urgent humanitarian assistance after #nepalearthquake httpAddress,Donations and volunteering
19792,rt usrId just donated usrId #nepalearthquake httpAddress if you can too go here httpAddress or text donate5,Donations and volunteering
19795,rt usrId manisha koirala thanks indian govt pm usrId for relief help to quake hit nepal httpAddress,Donations and volunteering
19797,rt usrId text the word nepal to DD to donate DD dollars to earthquake relief in httpAddress thousands of people are hurt and they,Donations and volunteering
19801,how to help earthquake victims in nepal httpAddress via usrId,Donations and volunteering
19802,rt usrId please don t donate money to any news channel or ngo to help httpAddress wait D appropriate link usrId provide,Donations and volunteering
19804,rt usrId donate now and support the victims of the nepal httpAddress ways to help httpAddress,Donations and volunteering
19807,rt usrId pm modi amp ; hm rajnath singh called us expressed their concern they have offered us all aid possible d upadhyay nepal ambas,Donations and volunteering
19808,rt usrId hey twitter i ll draw your portrait with the historical figure s of your choice for a donation to nepal ! httpAddress,Donations and volunteering
19810,rt usrId looking for ways to help #nepalquake victims ? check out usrId list of orgs offering aid in the region httpAddress,Donations and volunteering
19811,babymetal fan club helping those affected by the nepal httpAddress all profit from each t shirt purchased at httpAddress httpAddress,Donations and volunteering
19812,rt usrId help us help httpAddress nff is sending responders for rescue amp ; httpAddress we need your donation to help those httpAddress ht,Donations and volunteering
19815,rt usrId who has deployed emergency health kits to cover health needs of thousands of affected people in #nepal #nepalquake httpAddress,Donations and volunteering
19817,sikh sevak from #goldentemple to send 100 00 food packets to earthquake hit nepal thx for httpAddress #respect,Donations and volunteering
19820,rt usrId follow usrId for latest updates on #redcross response to #nepalearthquake httpAddress,Donations and volunteering
19822,t mobile offers free calls to nepal but will they get through ? video christian science monitor httpAddress httpAddress,Donations and volunteering
19823,rt usrId please text nepal to DD to give D to usrId #nepal earthquake appeal t amp ; c httpAddress costs D service,Donations and volunteering
19826,rt usrId many qualified #clinicians in our hf team in httpAddress dr alfa wali usrId is an nhs surgeon from imperial in london h,Donations and volunteering
19829,i just donated to support the nepal earthquake survivors and hope you will too ! #supportnepal httpAddress,Donations and volunteering
19830,rt usrId chinese international search amp ; rescue team amp ; their rescue dogs off to help in quake hit httpAddress photo via reuters httpAddress,Donations and volunteering
19833,rt usrId help children affected by the #nepalearthquake support unicef s relief efforts httpAddress via usrId #ne,Donations and volunteering
19835,rt usrId thousands in nepal struggling to survive and in dire need for httpAddress meanwhile citizens of baltimore looting junk food and,Donations and volunteering
19837,rt usrId just gave out a huge pile of clothes for #nepalearthquake please #donate whatever you can,Donations and volunteering
19847,rt usrId #msghelpearthquakevictims helpline numbers of the indian embassy in nepal 977 DD 977 DD,Donations and volunteering
19851,rt usrId here s how you can help those affected by the httpAddress donate now httpAddress httpAddress,Donations and volunteering
19855,rt usrId httpAddress is on the ground in nepal and needs our help to aid earthquake httpAddress text the word nepal to DD now t,Donations and volunteering
19856,rt usrId pm netanyahu informed his nepalese counterpart that an advance team would leave tonight httpAddress #nepal,Donations and volunteering
19859,rt usrId #finnishredcross campaigns for nepal earthquake disaster httpAddress,Donations and volunteering
19860,rt usrId given the tragedy in india and nepal mobile operators and corporates in food and water businesses must show compassion and,Donations and volunteering
19862,rt usrId heard pm to give 6lacs to family of demised in nepal but will give ignorance to 100s dead farmers amp ; jal satyagrahis h,Donations and volunteering
19863,rt usrId many reputable and effective organizations you may donate to for #nepalquakerelief httpAddress #nepalearthquake #,Donations and volunteering
19865,rt usrId amritsar s golden temple to send one lakh food packets per day to nepal without soul harvesting httpAddress,Donations and volunteering
19866,rt usrId golden temple will send 1 00 00 packets of meal per day to nepal everyday along with a few other gurudwara #respect http,Donations and volunteering
19877,un launches nepal earthquake appeal httpAddress,Donations and volunteering
19881,rt usrId there are 40 00 gorkha soldiers in #indianarmy amp ; httpAddress lakh retired gorkha regiment soldiers in #nepal #ne,Donations and volunteering
